id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label
article_0001,https://vnexpress.net/san-bay-vinh-dong-cua-6-thang-de-nang-cap-4905048.html,Sân bay Vinh đóng cửa 6 tháng để nâng cấp,"Nghệ AnCảng hàng không Vinh sẽ ngừng hoạt động từ 1/7 đến hết 31/12/2025 để phục vụ thi công mở rộng, cải tạo nhà ga, sân đỗ và sửa chữa đường cất hạ cánh.",Tin tức tổng hợp,2025-06-23T12:26:00+07:00,VnExpress,data/images/article_0001_image.png,non-clickbait
article_0002,https://vnexpress.net/5-nguoi-thoat-nan-khi-oto-bi-lu-cuon-4905039.html,5 người thoát nạn khi ôtô bị lũ cuốn,"Tuyên QuangĐi theo Google Maps song lại được chỉ vào đoạn ngập, ôtô 5 chỗ bị lũ cuốn, ba người lớn và hai trẻ nhỏ may mắn thoát nạn, đêm 23/6.",Tin tức tổng hợp,2025-06-23T12:26:00+07:00,VnExpress,data/images/article_0002_image.png,non-clickbait
article_0004,https://vnexpress.net/quy-hoach-9-khu-chuc-nang-phia-dong-tp-hcm-4905056.html,Quy hoạch 9 khu chức năng phía đông TP HCM,"9 đồ án quy hoạch 1/2000 được TP Thủ Đức phê duyệt với định hướng phát triển giao thông, công nghệ, tài chính… kỳ vọng tạo đột phá hạ tầng phía đông TP HCM.",Tin tức tổng hợp,2025-06-23T11:56:00+07:00,VnExpress,data/images/article_0004_image.png,non-clickbait
article_0006,https://vnexpress.net/tong-bi-thu-trao-quyet-dinh-thanh-lap-co-quan-uy-ban-trung-uong-mttq-viet-nam-4905018.html,Tổng Bí thư trao quyết định thành lập Cơ quan Ủy ban Trung ương MTTQ Việt Nam,"Sáng 23/6, Tổng Bí thư Tô Lâm dự và trao quyết định của Bộ Chính trị về việc thành lập Cơ quan Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam.",Tin tức tổng hợp,2025-06-23T11:03:00+07:00,VnExpress,data/images/article_0006_image.png,non-clickbait
article_0010,https://vnexpress.net/quoc-hoi-buoc-vao-tuan-lam-viec-cuoi-cung-cua-ky-hop-dai-ky-luc-4904812.html,Quốc hội bước vào tuần làm việc cuối cùng của kỳ họp dài kỷ lục,"Tuần cuối kỳ họp 9 (23-27/6), Quốc hội sẽ biểu quyết thông qua nhiều luật, nghị quyết quan trọng, trong đó có sửa đổi Bộ luật Hình sự, Luật Xử lý vi phạm hành chính và nghị quyết về trung tâm tài chính quốc tế.",Tin tức tổng hợp,2025-06-23T05:00:00+07:00,VnExpress,data/images/article_0010_image.png,non-clickbait
article_0011,https://vnexpress.net/nguy-co-mat-an-toan-hang-khong-tu-vat-the-bay-khong-nguoi-lai-4902895.html,Nguy cơ mất an toàn hàng không từ vật thể bay không người lái,"Các sân bay gần đây xảy ra nhiều vụ thả diều, chiếu tia laser, thiết bị bay không người lái xâm nhập gây mất an toàn, nhiều chuyến bay phải chuyển hướng.",Tin tức tổng hợp,2025-06-23T00:00:00+07:00,VnExpress,data/images/article_0011_image.png,non-clickbait
article_0012,https://vnexpress.net/dung-ma-tuy-khi-lai-xe-tai-xe-gay-tai-nan-lien-hoan-4904802.html,"Dùng ma túy khi lái xe, tài xế gây tai nạn liên hoàn","Thái NguyênĐang chở con gái, Lê Viết Hoàn dừng ôtô bên đường để sử dụng ma túy, sau đó trong trạng thái kích thích gây tai nạn liên hoàn với hai ôtô khác.",Tin tức tổng hợp,2025-06-22T19:40:00+07:00,VnExpress,data/images/article_0012_image.png,non-clickbait
article_0013,https://vnexpress.net/tuan-toi-mien-bac-giam-mua-4904778.html,Tuần tới miền Bắc giảm mưa,"Mưa tại miền Bắc sẽ giảm từ ngày 23/6, tuy nhiên một số khu vực trung du và vùng núi vẫn có khả năng xuất hiện mưa giông cục bộ.",Tin tức tổng hợp,2025-06-22T18:11:00+07:00,VnExpress,data/images/article_0013_image.png,non-clickbait
article_0014,https://vnexpress.net/da-nang-mo-rong-khu-thuong-mai-tu-do-sau-sap-nhap-4904753.html,Đà Nẵng mở rộng khu thương mại tự do sau sáp nhập,"Thành phố sẽ nghiên cứu mở rộng khu thương mại tự do để khai thác tiềm năng không gian, liên kết vùng sau khi hợp nhất với tỉnh Quảng Nam.",Tin tức tổng hợp,2025-06-22T15:48:00+07:00,VnExpress,data/images/article_0014_image.png,non-clickbait
article_0015,https://vnexpress.net/ca-nuoc-se-hoan-thanh-xoa-277-400-nha-tam-dot-nat-vao-ngay-25-8-4904732.html,"Cả nước sẽ hoàn thành xóa 277.400 nhà tạm, dột nát vào ngày 25/8","Bộ trưởng Đào Ngọc Dung cho biết toàn quốc dự kiến sẽ hoàn thành mục tiêu xóa 277.400 căn nhà tạm, dột nát vào ngày 25/8, trong đó 262.800 căn đã được hỗ trợ xây dựng.",Tin tức tổng hợp,2025-06-22T15:05:00+07:00,VnExpress,data/images/article_0015_image.png,non-clickbait
article_0016,https://vnexpress.net/mo-rong-quang-truong-ba-dinh-4904717.html,Mở rộng Quảng trường Ba Đình,Không gian Quảng trường Ba Đình được mở rộng về phía Nam để khôi phục tầm nhìn trục lễ và nâng cấp cảnh quan khu trung tâm chính trị quốc gia.,Tin tức tổng hợp,2025-06-22T14:39:00+07:00,VnExpress,data/images/article_0016_image.png,non-clickbait
article_0017,https://vnexpress.net/phuong-an-to-chuc-giao-thong-qua-cau-nhon-trach-noi-tp-hcm-dong-nai-4904706.html,Phương án tổ chức giao thông qua cầu Nhơn Trạch nối TP HCM - Đồng Nai,"Do hai đoạn đầu tuyến kết nối chưa hoàn thành, nên giai đoạn đầu cầu Nhơn Trạch dự kiến khai thác như đường đô thị, chưa theo tiêu chuẩn cao tốc.",Tin tức tổng hợp,2025-06-22T11:48:00+07:00,VnExpress,data/images/article_0017_image.png,non-clickbait
article_0018,https://vnexpress.net/hiem-hoa-tu-may-bay-phun-thuoc-4904350.html,Hiểm họa từ máy bay phun thuốc,"Thiếu lao động nông nghiệp khiến máy bay phun thuốc dần thay thế bình phun cơ, nhưng cũng tiềm ẩn nhiều rủi ro do khó kiểm soát, người điều khiển chưa qua đào tạo.",Tin tức tổng hợp,2025-06-22T10:00:00+07:00,VnExpress,data/images/article_0018_image.png,non-clickbait
article_0019,https://vnexpress.net/bai-phat-bieu-cua-bo-truong-nguyen-manh-hung-nhan-100-nam-bao-chi-cach-mang-viet-nam-4904549.html,Bài phát biểu của Bộ trưởng Nguyễn Mạnh Hùng nhân 100 năm báo chí cách mạng Việt Nam,"Bộ trưởng Khoa học và Công nghệ Nguyễn Mạnh Hùng phát biểu tại buổi gặp mặt các nhà báo lĩnh vực khoa học công nghệ, đổi mới sáng tạo và chuyển đổi số nhân dịp 100 năm Báo chí cách mạng Việt Nam. VnExpress giới thiệu nội dung bài phát biểu.",Tin tức tổng hợp,,VnExpress,data/images/article_0019_image.png,non-clickbait
article_0020,https://vnexpress.net/bo-dao-nha-tranh-tai-phao-hoa-voi-anh-tren-song-han-4904628.html,Bồ Đào Nha tranh tài pháo hoa với Anh trên sông Hàn,"Đà NẵngPhiêu lưu với bản hòa nhạc rock và những màn pháo hoa đa sắc màu, Bồ Đào Nha gây ấn tượng mạnh so với màn trình diễn của đại diện đến từ Anh.",Tin tức tổng hợp,2025-06-22T00:39:00+07:00,VnExpress,data/images/article_0020_image.png,non-clickbait
article_0021,https://vnexpress.net/13-tac-pham-doat-giai-a-bao-chi-quoc-gia-4904619.html,13 tác phẩm đoạt giải A báo chí quốc gia,"Hà NộiTối 21/6, Ban Tổ chức giải báo chí quốc gia trao tặng 13 giải A, 27 giải B và 49 giải C cho các nhóm tác giả từ cơ quan báo chí trung ương và địa phương.",Tin tức tổng hợp,2025-06-22T00:34:00+07:00,VnExpress,data/images/article_0021_image.png,non-clickbait
article_0022,https://vnexpress.net/da-nang-de-xuat-thu-nghiem-tai-san-so-tien-so-4904592.html,"Đà Nẵng đề xuất thử nghiệm tài sản số, tiền số","Thành phố kiến nghị cho phép hình thành tại Trung tâm tài chính quốc tế các sàn giao dịch chuyên biệt như tài sản số, tiền số cho doanh nghiệp đổi mới sáng tạo.",Tin tức tổng hợp,2025-06-21T22:20:00+07:00,VnExpress,data/images/article_0022_image.png,non-clickbait
article_0023,https://vnexpress.net/vnexpress-doat-hai-giai-tai-hoi-bao-toan-quoc-2025-4904562.html,VnExpress đoạt hai giải tại Hội Báo toàn quốc 2025,"Hà NộiTại lễ bế mạc Hội Báo toàn quốc 2025 chiều 21/6, báo VnExpress được trao giải B Sản phẩm báo chí ấn tượng và giải C Sự kiện.",Tin tức tổng hợp,2025-06-21T18:08:00+07:00,VnExpress,data/images/article_0023_image.png,non-clickbait
article_0024,https://vnexpress.net/vuot-gac-chan-nguoi-dan-ong-bi-tau-tong-tu-vong-4904542.html,"Vượt gác chắn, người đàn ông bị tàu tông tử vong","Nghệ AnNgười đàn ông ở TP Vinh lái xe máy vượt đèn tín hiệu và gác chắn, bị tàu hàng H15 tông trúng khiến tử vong, trưa 21/6.",Tin tức tổng hợp,2025-06-21T17:45:00+07:00,VnExpress,data/images/article_0024_image.png,non-clickbait
article_0025,https://vnexpress.net/bao-chi-cach-mang-viet-nam-nhan-huan-chuong-ho-chi-minh-4904508.html,Báo chí cách mạng Việt Nam nhận huân chương Hồ Chí Minh,"Ngày 21/6, Tổng Bí thư Tô Lâm trao tặng huân chương Hồ Chí Minh cho Báo chí cách mạng Việt Nam, ghi nhận những đóng góp to lớn vào sự nghiệp cách mạng của Đảng và dân tộc.",Tin tức tổng hợp,2025-06-21T17:16:00+07:00,VnExpress,data/images/article_0025_image.png,non-clickbait
article_0026,https://vnexpress.net/tong-bi-thu-bao-chi-can-khoi-goi-tinh-than-cong-hien-trong-xa-hoi-4904392.html,Tổng Bí thư: 'Báo chí cần khơi gợi tinh thần cống hiến trong xã hội',"Hà NộiTrong giai đoạn hiện nay, báo chí cần thổi luồng sinh khí mới, khơi dậy quyết tâm, lòng yêu nước, tinh thần cống hiến trong toàn xã hội, theo Tổng Bí thư.",Tin tức tổng hợp,2025-06-21T14:21:00+07:00,VnExpress,data/images/article_0026_image.png,non-clickbait
